"Designator","Mid X(mm)","Mid Y(mm)","Rotation","Layer"
"C100","74.00","20.00","0","Front"
"C101","82.00","18.00","0","Front"
"C102","82.00","10.00","0","Front"
"C90","94.00","82.00","0","Front"
"C91","123.00","22.00","0","Front"
"C92","147.00","34.00","0","Front"
"C93","118.00","26.00","0","Front"
"C94","122.00","34.00","0","Front"
"C95","122.00","44.00","0","Front"
"C96","126.00","48.00","0","Front"
"C97","128.00","44.00","0","Front"
"C98","128.00","36.00","0","Front"
"C99","68.00","8.00","0","Front"
"F1","20.00","12.00","0","Front"
"J1","10.00","25.00","0","Front"
"J2","152.00","16.00","0","Front"
"K1","25.00","76.00","0","Front"
"K2","67.00","88.00","0","Front"
"MOV1","32.00","39.00","0","Front"
"R1","90.00","87.00","0","Front"
"R10","122.00","61.82","0","Front"
"R11","122.00","77.09","0","Front"
"R12","108.00","78.36","0","Front"
"R13","96.00","77.63","0","Front"
"R16","30.00","96.00","0","Front"
"R17","48.00","96.00","0","Front"
"R18","66.00","96.00","0","Front"
"R19","84.00","96.00","0","Front"
"R2","102.00","87.00","0","Front"
"R20","102.00","92.00","0","Front"
"R21","120.00","92.00","0","Front"
"R22","138.00","92.00","0","Front"
"R23","12.00","96.00","0","Front"
"R24","30.00","88.00","0","Front"
"R25","48.00","88.00","0","Front"
"R26","62.00","88.00","0","Front"
"R27","90.00","92.00","0","Front"
"R3","120.00","87.00","0","Front"
"R34","102.00","96.00","0","Front"
"R35","120.00","96.00","0","Front"
"R36","138.00","96.00","0","Front"
"R37","12.00","88.00","0","Front"
"R38","36.00","92.00","0","Front"
"R39","54.00","92.00","0","Front"
"R4","138.00","87.00","0","Front"
"R40","72.00","92.00","0","Front"
"R5","12.00","92.00","0","Front"
"R6","30.00","92.00","0","Front"
"R7","48.00","92.00","0","Front"
"R8","66.00","92.00","0","Front"
"R9","84.00","92.00","0","Front"
"U1","94.00","62.00","0","Front"
"U2","135.00","22.00","0","Front"
"U3","118.00","30.00","0","Front"
"U4","122.00","40.00","0","Front"
"U5","128.00","40.00","0","Front"
"U6","28.00","20.00","0","Front"
"U7","72.00","14.00","0","Front"
"U8","82.00","14.00","0","Front"
