Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","SMA Female Edge Mount 50Ω","SMA_Amphenol_132134_Vertical",188.000000,-130.000000,0.000000,top
"BAT1","CR2032 Holder SMD","BatteryHolder_LINX_BAT-HLD-012-SMT",108.000000,-127.000000,0.000000,top
"C1","10µF/50V Electrolytic","CP_Radial_D5.0mm_P2.00mm",64.000000,-132.000000,0.000000,top
"C2","10µF/50V Electrolytic","CP_Radial_D5.0mm_P2.00mm",125.000000,-87.000000,0.000000,top
"C3","10µF/50V Electrolytic","CP_Radial_D5.0mm_P2.00mm",108.000000,-102.000000,0.000000,top
"C4","10µF/50V Electrolytic","CP_Radial_D5.0mm_P2.00mm",124.000000,-102.000000,0.000000,top
"C5","100nF/50V X7R 0805","C_0805_2012Metric",134.000000,-120.000000,0.000000,top
"C6","100nF/50V X7R 0805","C_0805_2012Metric",153.000000,-120.000000,0.000000,top
"C7","100nF/50V X7R 0805","C_0805_2012Metric",178.000000,-126.000000,0.000000,top
"C8","100nF/50V X7R 0805","C_0805_2012Metric",203.000000,-105.000000,0.000000,top
"C9","100nF/50V X7R 0805","C_0805_2012Metric",18.000000,-122.000000,0.000000,top
"C10","100nF/50V X7R 0805","C_0805_2012Metric",16.000000,-116.000000,0.000000,top
"C11","100nF/50V X7R 0805","C_0805_2012Metric",74.000000,-98.000000,0.000000,top
"C12","100nF/50V X7R 0805","C_0805_2012Metric",39.000000,-107.000000,0.000000,top
"C13","10µF/16V X5R 0805","C_0805_2012Metric",97.000000,-107.000000,0.000000,top
"C14","10µF/16V X5R 0805","C_0805_2012Metric",125.000000,-95.000000,0.000000,top
"C15","10µF/16V X5R 0805","C_0805_2012Metric",108.000000,-95.000000,0.000000,top
"C16","10µF/16V X5R 0805","C_0805_2012Metric",124.000000,-122.000000,0.000000,top
"C17","1µF/16V X7R 0603","C_0603_1608Metric",149.000000,-128.000000,0.000000,top
"C18","1µF/16V X7R 0603","C_0603_1608Metric",117.000000,-89.000000,0.000000,top
"C19","1µF/16V X7R 0603","C_0603_1608Metric",208.000000,-92.000000,0.000000,top
"C20","1µF/16V X7R 0603","C_0603_1608Metric",209.000000,-128.000000,0.000000,top
"C21","22µF/10V X5R 1206","C_1206_3216Metric",12.000000,-88.000000,0.000000,top
"C22","22µF/10V X5R 1206","C_1206_3216Metric",58.000000,-106.000000,0.000000,top
"C23","4.7µF/50V X7R 0805","C_0805_2012Metric",17.000000,-109.000000,0.000000,top
"C24","4.7µF/50V X7R 0805","C_0805_2012Metric",102.000000,-94.000000,0.000000,top
"C25","10µF/6.3V X5R 0805","C_0805_2012Metric",37.000000,-97.000000,0.000000,top
"C26","10µF/6.3V X5R 0805","C_0805_2012Metric",146.000000,-82.000000,0.000000,top
"C27","100nF/16V X7R 0603","C_0603_1608Metric",108.000000,-79.000000,0.000000,top
"C28","100nF/16V X7R 0603","C_0603_1608Metric",82.000000,-94.000000,0.000000,top
"C29","100nF/16V X7R 0603","C_0603_1608Metric",194.000000,-82.000000,0.000000,top
"C30","100nF/16V X7R 0603","C_0603_1608Metric",204.000000,-88.000000,0.000000,top
"C31","330pF/50V C0G 0603","C_0603_1608Metric",214.000000,-94.000000,0.000000,top
"C32","100pF/50V C0G 0603","C_0603_1608Metric",188.000000,-82.000000,0.000000,top
"C33","100nF/16V X7R 0603","C_0603_1608Metric",12.000000,-84.000000,0.000000,top
"C34","100nF/16V X7R 0603","C_0603_1608Metric",37.000000,-135.000000,0.000000,top
"C35","100nF/16V X7R 0603","C_0603_1608Metric",95.000000,-93.000000,0.000000,top
"C36","100nF/16V X7R 0603","C_0603_1608Metric",102.000000,-102.000000,0.000000,top
"C37","100nF/16V X7R 0603","C_0603_1608Metric",22.000000,-90.000000,0.000000,top
"C38","100nF/16V X7R 0603","C_0603_1608Metric",161.000000,-75.000000,0.000000,top
"C39","100nF/50V X7R 0603","C_0603_1608Metric",150.000000,-102.000000,0.000000,top
"C40","100nF/50V X7R 0603","C_0603_1608Metric",124.000000,-135.000000,0.000000,top
"C41","100nF/50V X7R 0603","C_0603_1608Metric",140.000000,-135.000000,0.000000,top
"C42","100nF/50V X7R 0603","C_0603_1608Metric",147.000000,-135.000000,0.000000,top
"C43","10µF/25V X5R 0805","C_0805_2012Metric",199.000000,-117.000000,0.000000,top
"C44","10µF/25V X5R 0805","C_0805_2012Metric",209.000000,-123.000000,0.000000,top
"C90","100nF","C_0603_1608Metric",94.000000,-62.000000,0.000000,top
"C91","100nF","C_0603_1608Metric",135.000000,-13.000000,0.000000,top
"C92","100nF","C_0603_1608Metric",144.000000,-13.000000,0.000000,top
"C93","100nF","C_0603_1608Metric",109.000000,-39.000000,0.000000,top
"C94","100nF","C_0603_1608Metric",118.000000,-15.000000,0.000000,top
"C95","100nF","C_0603_1608Metric",68.000000,-20.000000,0.000000,top
"C96","100nF","C_0603_1608Metric",68.000000,-8.000000,0.000000,top
"C97","100nF","C_0603_1608Metric",143.000000,-55.000000,0.000000,top
"C98","100nF","C_0603_1608Metric",113.000000,-55.000000,0.000000,top
"C99","100nF","C_0603_1608Metric",74.000000,-20.000000,0.000000,top
"C100","100nF","C_0603_1608Metric",62.000000,-20.000000,0.000000,top
"C101","100nF","C_0603_1608Metric",82.000000,-20.000000,0.000000,top
"C102","100nF","C_0603_1608Metric",82.000000,-8.000000,0.000000,top
"C_X1A","18pF/50V C0G 0603","C_0603_1608Metric",78.000000,-86.000000,0.000000,top
"C_X1A-C_X1B","18pF/50V C0G 0603","C_0603_1608Metric",150.000000,-78.000000,0.000000,top
"C_X1B","18pF/50V C0G 0603","C_0603_1608Metric",82.000000,-98.000000,0.000000,top
"D1","SS34-E3/57T","D_SMA",40.000000,-62.000000,0.000000,top
"D2","1N5819","D_SMA",79.000000,-62.000000,0.000000,top
"D3","1N5819","D_SMA",124.000000,-62.000000,0.000000,top
"D4","1N4148TR","D_SOD-323",166.000000,-62.000000,0.000000,top
"D5","1N4148TR","D_SOD-323",208.000000,-68.000000,0.000000,top
"D6","SMBJ3.3A","D_SMA",211.000000,-62.000000,0.000000,top
"D7","SMBJ3.3A","D_SMA",199.000000,-62.000000,0.000000,top
"D8","SMBJ3.3A","D_SMA",187.000000,-62.000000,0.000000,top
"D9","SMBJ1.8A","D_SMA",175.000000,-62.000000,0.000000,top
"D10","USBLC6-2SC6","SOT-23-6",146.000000,-89.000000,0.000000,top
"F1","0215001.MXP","Fuseholder_Littelfuse_100_series_5x20mm",22.000000,-12.000000,0.000000,top
"F2","0ZCJ0050FF2G","Fuse_1206_3216Metric",196.000000,-112.000000,0.000000,top
"FB1","BLM18PG221SN1D","L_0603_1608Metric",200.000000,-100.000000,0.000000,top
"FB2","BLM18PG221SN1D","L_0603_1608Metric",6.000000,-126.000000,0.000000,top
"FB3","BLM18PG221SN1D","L_0603_1608Metric",37.000000,-111.000000,0.000000,top
"J1_AC","Screw Terminal 3-pin 5.0mm","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",156.000000,-130.000000,0.000000,top
