Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SS14","D_SMA",40.000000,-62.000000,0.000000,top
"F1","500mA","Fuse_1206_3216Metric",22.000000,-12.000000,0.000000,top
"J1","AC Şebeke Girişi","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",10.000000,-25.000000,0.000000,top
"J2","SMA Anten Konektörü","SMA_Amphenol_901-144_Vertical",152.000000,-16.000000,0.000000,top
"K1","5V relay","Relay_SPDT_Omron-G5Q-1",25.000000,-76.000000,0.000000,top
"K2","Harici Konektör","PinHeader_1x02_P2.54mm_Vertical",67.000000,-76.000000,0.000000,top
"MOV1","471VAC MOV","RV_Disc_D15.5mm_W4.5mm_P7.5mm",32.000000,-25.000000,0.000000,top
"OK1","PC817","DIP-4_W7.62mm",18.000000,-58.000000,0.000000,top
"Q1","2N7002","SOT-23",32.000000,-62.000000,0.000000,top
"R10","Harici Konektör","PinHeader_1x02_P2.54mm_Vertical",28.000000,-92.000000,0.000000,top
"U1","ESP32-S3","ESP32-S3-WROOM-1",80.000000,-58.000000,0.000000,top
"U2","DWM3000","",135.000000,-22.000000,0.000000,top
"U3","4-bit bidirectional","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",118.000000,-30.000000,0.000000,top
"U4","single-bit dual-supply","SOT-353_SC-70-5",118.000000,-40.000000,0.000000,top
"U5","single-bit dual-supply","SOT-353_SC-70-5",128.000000,-40.000000,0.000000,top
"U6","5V isolated","Converter_ACDC_Hi-Link_HLK-5Mxx",45.000000,-22.000000,0.000000,top
"U7","3.3V","SOIC-8_3.9x4.9mm_P1.27mm",68.000000,-14.000000,0.000000,top
"U8","1.8V low-noise","SOT-23-5",82.000000,-14.000000,0.000000,top
