Ref,Val,Package,PosX,PosY,Rot,Side
"C90","100nF","C_0603_1608Metric",94.000000,-82.000000,0.000000,top
"C91","100nF","C_0603_1608Metric",123.000000,-22.000000,0.000000,top
"C92","100nF","C_0603_1608Metric",147.000000,-34.000000,0.000000,top
"C93","100nF","C_0603_1608Metric",118.000000,-26.000000,0.000000,top
"C94","100nF","C_0603_1608Metric",122.000000,-34.000000,0.000000,top
"C95","100nF","C_0603_1608Metric",122.000000,-44.000000,0.000000,top
"C96","100nF","C_0603_1608Metric",126.000000,-48.000000,0.000000,top
"C97","100nF","C_0603_1608Metric",128.000000,-44.000000,0.000000,top
"C98","100nF","C_0603_1608Metric",128.000000,-36.000000,0.000000,top
"F1","500mA fuse","Fuse_1206_3216Metric",20.000000,-12.000000,0.000000,top
"J1","AC Şebeke Girişi","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",10.000000,-25.000000,0.000000,top
"J2","SMA Anten Konektörü","SMA_Amphenol_901-144_Vertical",152.000000,-16.000000,0.000000,top
"K1","5V relay","Relay_SPDT_Omron-G5Q-1",25.000000,-76.000000,0.000000,top
"K2","5V relay","Relay_SPDT_Omron-G5Q-1",67.000000,-88.000000,0.000000,top
"MOV1","AC varistor","RV_Disc_D15.5mm_W4.5mm_P7.5mm",32.000000,-39.000000,0.000000,top
"R1","100R","R_0603_1608Metric",90.000000,-87.000000,0.000000,top
"R2","100R","R_0603_1608Metric",102.000000,-87.000000,0.000000,top
"R3","100R","R_0603_1608Metric",120.000000,-87.000000,0.000000,top
"R4","100R","R_0603_1608Metric",138.000000,-87.000000,0.000000,top
"R5","100R","R_0603_1608Metric",12.000000,-92.000000,0.000000,top
"R6","100R","R_0603_1608Metric",30.000000,-92.000000,0.000000,top
"R7","100R","R_0603_1608Metric",48.000000,-92.000000,0.000000,top
"R8","100R","R_0603_1608Metric",66.000000,-92.000000,0.000000,top
"R9","100R","R_0603_1608Metric",84.000000,-92.000000,0.000000,top
"R10","100R","R_0603_1608Metric",122.000000,-61.820000,0.000000,top
"R11","100R","R_0603_1608Metric",122.000000,-77.090000,0.000000,top
"R12","100R","R_0603_1608Metric",108.000000,-78.360000,0.000000,top
"R13","100R","R_0603_1608Metric",96.000000,-77.630000,0.000000,top
"R16","100R","R_0603_1608Metric",30.000000,-96.000000,0.000000,top
"R17","100R","R_0603_1608Metric",48.000000,-96.000000,0.000000,top
"R18","100R","R_0603_1608Metric",66.000000,-96.000000,0.000000,top
"R19","100R","R_0603_1608Metric",84.000000,-96.000000,0.000000,top
"R20","10K","R_0603_1608Metric",102.000000,-92.000000,0.000000,top
"R21","33R","R_0603_1608Metric",120.000000,-92.000000,0.000000,top
"R22","100R","R_0603_1608Metric",138.000000,-92.000000,0.000000,top
"R23","100R","R_0603_1608Metric",12.000000,-96.000000,0.000000,top
"R24","100R","R_0603_1608Metric",30.000000,-88.000000,0.000000,top
"R25","100R","R_0603_1608Metric",48.000000,-88.000000,0.000000,top
"R26","100R","R_0603_1608Metric",62.000000,-88.000000,0.000000,top
"R27","100R","R_0603_1608Metric",90.000000,-92.000000,0.000000,top
"R34","100R","R_0603_1608Metric",102.000000,-96.000000,0.000000,top
"R35","100R","R_0603_1608Metric",120.000000,-96.000000,0.000000,top
"R36","100R","R_0603_1608Metric",138.000000,-96.000000,0.000000,top
"R37","100R","R_0603_1608Metric",12.000000,-88.000000,0.000000,top
"R38","100R","R_0603_1608Metric",36.000000,-92.000000,0.000000,top
"R39","100R","R_0603_1608Metric",54.000000,-92.000000,0.000000,top
"R40","100R","R_0603_1608Metric",72.000000,-92.000000,0.000000,top
"U1","ESP32-S3 module","ESP32-S3-WROOM-1",94.000000,-62.000000,0.000000,top
"U2","UWB module","DWM3000",135.000000,-22.000000,0.000000,top
"U3","4-bit level shifter","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",118.000000,-30.000000,0.000000,top
"U4","Single-bit level shifter","SOT-363_SC-70-6",122.000000,-40.000000,0.000000,top
"U5","Single-bit level shifter","SOT-363_SC-70-6",128.000000,-40.000000,0.000000,top
"U6","5V isolated AC/DC","Converter_ACDC_Hi-Link_HLK-5Mxx",28.000000,-20.000000,0.000000,top
"U7","3.3V buck","SOIC-8_3.9x4.9mm_P1.27mm",72.000000,-14.000000,0.000000,top
"U8","1.8V low-noise LDO","SOT-23-5",82.000000,-14.000000,0.000000,top
